Number,Actual value,Fast runtime,FastN runtime,Impl1 runtime,Impl2 runtime,Fast abs err,Fast rel err,FastN abs err,FastN rel err,
1.60703e+07,0.000249452,0.042,0.541,0.784,0.579,1.06613e-05,0.0427388,6.73725e-07,0.00270081,
589261,0.00130271,0.062,0.17,0.638,0.631,-1.7685e-05,-0.0135756,3.61702e-07,0.000277655,
88676.5,0.00335812,0.045,0.138,0.54,0.659,-3.54277e-05,-0.0105499,5.62752e-07,0.00016758,
1.24132e+07,0.000283829,0.043,0.168,0.854,0.609,-2.82971e-06,-0.00996975,4.24625e-08,0.000149606,
0.0822319,3.48722,0.044,0.174,0.548,0.709,-0.025151,-0.00721233,0.000272512,7.8146e-05,
1.13362e+08,9.39219e-05,0.046,0.146,0.762,0.949,-1.86865e-06,-0.0198958,5.61413e-08,0.000597744,
4.13859e+07,0.000155444,0.049,0.144,0.916,0.633,-2.92333e-06,-0.0188064,8.2975e-08,0.000533794,
231.096,0.0657815,0.057,0.183,0.68,0.688,0.00257373,0.0391254,0.000149079,0.00226627,
694172,0.00120024,0.042,0.134,0.84,0.635,-2.24487e-05,-0.0187036,6.33765e-07,0.000528034,
1.5062e+07,0.000257667,0.044,0.131,0.549,0.621,9.55208e-06,0.0370714,5.24567e-07,0.00203583,
144037,0.00263489,0.049,0.419,0.58,0.733,-3.03129e-05,-0.0115044,5.25033e-07,0.000199262,
9.39647e+09,1.03161e-05,0.043,0.136,0.835,0.751,-1.13965e-07,-0.0110473,1.8963e-09,0.000183818,
58.5396,0.1307,0.054,0.13,0.77,0.628,0.00573979,0.0439158,0.000372574,0.0028506,
7.97633e+09,1.11969e-05,0.044,0.135,0.957,0.7,-1.36363e-07,-0.0121786,2.50111e-09,0.000223375,
119385,0.00289418,0.056,0.133,0.556,0.684,-4.17756e-05,-0.0144343,9.08971e-07,0.000314068,
411532,0.00155883,0.054,0.145,0.703,1.005,-3.20973e-05,-0.0205907,9.98261e-07,0.000640392,
2.73863,0.604273,0.062,0.137,0.56,0.749,-0.0104194,-0.0172428,0.000271082,0.000448608,
4.25768e+10,4.84634e-06,0.069,0.152,0.627,0.619,-9.16702e-08,-0.0189154,2.61753e-09,0.000540104,
0.551362,1.34673,0.049,0.148,0.877,0.708,-0.0159473,-0.0118415,0.000284433,0.000211202,
528501,0.00137555,0.05,0.186,0.681,0.586,-1.42492e-06,-0.00103589,2.21189e-09,1.608e-06,
2.94669e+12,5.8255e-07,0.049,0.405,0.555,0.714,-1.06565e-08,-0.0182928,2.94165e-10,0.000504961,
1.35226e+11,2.71938e-06,0.05,0.134,0.75,0.68,-8.40146e-09,-0.00308948,3.88809e-11,1.42977e-05,
138.041,0.0851131,0.051,0.182,0.621,0.623,-0.000813216,-0.00955453,1.169e-05,0.000137346,
5.04929e+07,0.000140729,0.055,0.122,0.673,0.608,-1.07235e-06,-0.00761991,1.22818e-08,8.72726e-05,
842982,0.00108916,0.042,0.147,0.575,0.635,5.06395e-06,0.00464942,3.52738e-08,3.23863e-05,
18.2682,0.233966,0.04,0.137,0.832,0.636,0.00357053,0.0152609,8.13156e-05,0.000347554,
238963,0.00204567,0.051,0.13,0.57,0.632,8.77143e-05,0.0428781,5.56093e-06,0.00271839,
1.61379e+06,0.000787184,0.058,0.17,0.601,0.718,-1.58076e-05,-0.0200812,4.7934e-07,0.00060893,
2.73727e+07,0.000191135,0.094,0.144,0.765,0.658,-3.96621e-06,-0.0207508,1.24317e-07,0.000650413,
66.73,0.122416,0.062,0.13,0.564,0.64,0.00412168,0.0336694,0.000205822,0.00168133,
15.9251,0.250587,0.043,0.4,0.562,0.802,0.0107467,0.0428863,0.000681445,0.0027194,
4.30305e+06,0.000482072,0.051,0.454,0.873,0.649,1.79413e-05,0.037217,9.89152e-07,0.00205188,
8.72381e+12,3.38569e-07,0.04,0.128,0.901,0.564,-5.24523e-10,-0.00154924,1.19371e-12,3.52576e-06,
